,13C,1H,Intensity
1,127.75,7.01,0.05121
2,127.74,7.04,-0.051
3,127.73,7.24,0.19794
4,111.16,7.51,0.01834
5,108.95,6.78,0.32952
6,102.81,7.28,0.03732
7,102.8,7.04,0.20887
8,102.8,7.01,0.26062
9,102.77,7.23,-0.03665
10,65.37,3.96,-0.02586
11,62.25,4.15,1.09743
12,62.12,4.42,0.04316
13,61.3,3.95,1.39038
14,61.04,4.17,1.15185
15,60.8,4.03,0.10517
16,59.05,4.15,-0.01642
17,58.35,3.7,-0.07225
18,57.19,3.96,-0.03081
19,57.04,4.16,0.01898
20,51.84,3.5,0.05365
21,50.74,3.46,0.28068
22,33.42,2.31,-0.02703
23,29.49,1.22,-0.10944
24,28.84,1.28,-0.05267
25,24.43,1.6,-0.02189
26,23.14,1.03,0.03977
27,20.89,0.9,0.02896
28,20.89,2.01,0.02482
29,18.36,1.01,0.03527
30,18.23,1.21,0.09534
31,16.88,0.81,0.02739
32,16.61,0.75,0.02597
33,15.97,0.79,0.02193
34,15.19,0.73,0.0284
35,13.87,0.85,0.03405
36,-0.2,-0.04,0.22995
