,13C,1H,Intensity
1,20.22,1.28,64208120
2,21.49,2.02,61456496
3,14.14,0.95,57765352
4,19.13,1.69,56749096
5,29.84,1.06,53326368
6,16.64,0.89,51304728
7,17.23,1.19,47363520
8,27.48,1.43,46684872
9,17.26,0.81,43309516
10,22.5,2.54,37415184
11,16.57,2.13,36504432
12,12.36,0.91,31077660
13,72.78,4.76,28671576
14,69.87,4.45,25696282
15,104.31,6.06,22706264
16,73.11,4.58,21177740
17,72.01,5.62,20813692
18,125.66,5.41,20780464
19,74.64,4.33,18793892
20,72.94,6.24,18699396
21,80.89,4.29,18029160
22,47.44,1.77,17858372
23,78.56,5.92,17294532
24,140,6.09,16576114
25,70.64,4.62,16065296
26,106.64,5.19,15843672
27,42.22,2.49,14137981
28,72.47,4.69,13734459
29,47.74,1.66,12971761
30,74.65,4.1,12961572
31,39.94,3.06,12154440
32,86.6,4.24,9016559
33,72.08,4.4,8070536
34,23.01,0.91,5126200
35,81.1,4.34,4791384
36,77.19,4.42,4337516
37,32.9,1.75,2175677
38,27.08,2.59,1650237
39,20.01,2.02,1495144
40,15.06,0.87,1469446
41,28.93,1.42,1455534
42,21.7,1.28,1196638
43,32.17,1.14,1178089
44,23.05,1.79,1139363
45,64.92,3.5,1094028
46,130.82,5.51,1019240
47,32.4,1.55,1005025
48,65.53,4.36,930380
49,50.26,3.62,923874
50,26.13,1.5,854757
51,17.61,1.69,850230
52,69.8,3.81,810283
53,23.34,1.91,735959
54,25.41,1.86,681899
55,47.6,1.86,674270
56,20.57,2,-674112
57,11.32,0.91,-690159
58,31.32,1.11,-713660
59,73.14,4.4,-726150
60,73.52,4.68,-769421
61,74.19,4.57,-779914
62,44.25,2.3,-830256
63,12.93,0.87,-838352
64,81.94,4.29,-840920
65,74.12,4.58,-843864
66,75.79,4.32,-847689
67,32.5,1.24,-890667
68,28.76,1.06,-925274
69,21.72,2.06,-954923
70,35.39,2.55,-965116
71,124.33,4.99,-982074
72,30.94,1.06,-1050373
73,73.96,6.24,-1091503
74,71.69,4.62,-1134813
75,26.39,1.42,-1150811
76,79.65,5.92,-1157175
77,21.45,2.55,-1171056
78,27.92,2.12,-1175750
79,13.09,0.96,-1185857
80,20.2,1.69,-1188376
81,107.8,5.19,-1304819
82,16.25,0.79,-1373068
83,20.7,1.24,-1419471
84,17.63,2.12,-1481302
85,73.85,4.76,-1485787
86,17.52,0.83,-1512816
87,73.04,5.61,-1588764
88,15.62,0.91,-1591727
89,17.7,0.89,-1643628
90,70.91,4.44,-1709842
91,18.32,0.81,-1743148
92,21.18,1.26,-1770044
93,22.42,2.03,-1884361
94,22.77,2.51,-2014377
95,22.57,2.02,-2306081
96,15.16,0.93,-2410275
97,28.45,1.44,-2497860
98,23.49,2.53,-2525590
99,18.3,1.19,-2530354
100,105.36,6.06,-3016694
101,18.43,1.31,-6446791
102,26.5,1.99,-6640593
103,26.5,2.28,-8488754
104,39.21,0.92,-8572738
105,39.19,1.44,-8760538
106,24.24,1.87,-8795182
107,68.66,4.3,-8828328
108,33.25,1.52,-9016176
109,18.38,1.73,-9081274
110,30.35,1.27,-9246302
111,31.51,1.87,-9307270
112,31.47,1.55,-9821803
113,27.26,1.8,-9829198
114,33.15,1.13,-9984193
115,64.46,4.38,-10134652
116,31.54,1.58,-10374663
117,27.26,1.48,-10376903
118,68.7,3.81,-10457203
119,24.26,1.77,-10575382
120,47.58,1.44,-10711489
121,64.45,3.73,-10851043
122,47.51,1.45,-11046188
123,47.57,2.64,-11408053
124,63.94,3.67,-14008702
125,63.98,3.52,-14461531
