13C,1H,Intensity
136.57,5.81,6148440
126.72,5.62,9245818
106.47,5.17,4535118
104.25,6.05,8440068
86.5,4.19,3139497
80.98,4.39,2336595
80.86,4.27,6160417
77.06,4.37,2522189
77.02,5.03,6652702
76.85,6.32,6629665
74.67,4.08,4690817
74.63,4.32,7063993
72.97,4.57,7821227
72.74,4.74,9875514
72.65,5.6,8201019
72.35,4.66,6359430
72.04,4.36,3505587
72,4.69,8285223
70.63,4.61,6658700
69.83,4.43,6916733
68.65,3.78,-3628958
68.55,4.28,-3088610
64.44,4.35,-3568945
64.37,3.73,-3926634
63.79,3.75,-5642382
63.58,3.95,-5298187
47.87,3.09,-4623074
47.79,1.48,-4641852
47.63,1.87,6539866
47.27,1.81,5309066
43.92,2,-4015057
43.85,1.88,-3804120
41.68,3.23,5249754
39.41,1,-2963552
39.38,1.5,-3454443
35.86,1.42,-4065644
35.79,2.15,-3586492
30.63,1.27,27477196
26.5,2.31,-3056476
26.49,1.99,-2891058
25.52,2.06,5107249
24.42,1.96,-3284665
24.27,1.86,-4172737
22.94,0.85,25009534
22.73,0.73,23107836
21.99,2.05,22610650
21.42,1.95,14342217
19.75,1.43,22276028
19.11,1.67,19440994
18.93,1.4,-2663403
18.92,1.81,-3653108
18.01,1.08,22044008
16.88,0.93,20786648
16.32,2.02,12357718
14.16,0.96,20114364
