13C,1H,Intensity
30.37,1.29,94016824
121.22,6.22,32745992
121.21,5.65,30697180
39.99,2.4,18194358
44.33,2.44,16155729
26.72,2.21,15149289
44.29,2.81,13667528
40.05,2.14,12940183
44.2,2.47,12890186
26.75,2.4,12804893
25.93,1.6,9516929
23.37,1.32,7177873.5
27.78,2.03,5643268
47.1,3.31,5619210
34.85,2.27,5584397.5
116.5,4.89,3250270
21.7,2.31,-2823499.5
72.66,3.63,-2827139.25
21,1.9,-2973154
10.14,1.1,-3159841.5
105,4.52,-3682510.25
74.02,3.54,-3749011
25.85,1.25,-3964602
19.36,1.08,-4224478
29.33,0.89,-4530268.5
130.64,5.35,-4855907
116.46,6.79,-4890032.5
116.6,6.79,-4966135
69.42,3.8,-5648219
16.7,1.02,-7795084
56.25,3.81,-9152801
49.41,3.34,-10812778
14.13,0.9,-11428284
131.81,4.98,-23305274
77.3,5.22,-25007590
128.3,4.89,-25954540
53.33,3.2,-26761430
17.32,1.79,-33676376
19.21,1.51,-37860952
74.1,5.85,-39391108
14.16,2.12,-42007716
48.96,3.31,-258610000
