,13C,1H,Intensity
1,17.5,1.41,131700896
2,32.63,1.29,93499160
3,30.64,1.33,80442880
4,15.74,1.46,69104616
5,32.66,1.5,67574816
6,15.73,1.58,65221664
7,35.81,1.37,60141372
8,35.57,1.57,57372820
9,35.2,1.92,56622520
10,39.33,0.94,51743160
11,35.69,1.45,44008656
12,41.84,0.99,43819008
13,35.21,1.23,43287688
14,41.86,1.76,42698352
15,35.4,1.22,40119356
16,39.31,1.5,35937864
17,35.61,1.15,35619096
18,71.93,3.76,30770872
19,17.64,1.02,25675960
20,17.43,1,25547242
21,17.34,0.99,24667612
22,30.89,1.02,24333728
23,34.14,0.97,24267640
24,60.55,0.92,17759972
25,31.21,1.19,17405072
26,52.34,1.3,13098544
27,17.28,0.88,12419797
28,40.91,1.75,-12046096
29,53.22,1.41,-13214316
30,42.85,1.57,-85188000
31,53.28,1.3,-87222744
32,49.26,1.28,-91048384
33,61.46,0.92,-91730464
34,32.14,1.19,-121175360
35,72.9,3.76,-148964256
36,35.03,0.97,-168438016
37,31.82,1.02,-169087760
38,18.22,0.88,-186589648
39,11.57,0.96,-195148272
40,18.6,1.03,-199154016
41,20.11,1.01,-204884464
42,16.38,0.99,-215892304
