1H,13C,Intensity
7.990881582,120.9937074,128368.2902
7.346128141,129.3345236,-142435.5905
7.316821166,130.3157961,-167201.4258
7.302167679,128.3532511,-87869.8278
7.272860705,129.3345236,364230.6868
7.24355373,127.8626149,221384.3786
7.228900243,131.2970686,-78341.01564
7.199593268,130.3157961,542908.3546
5.045530634,54.75781418,209571.9959
4.972263198,61.13608538,293629.9046
4.79642135,58.19226791,221690.9247
4.488698117,55.24845043,181496.4121
3.887905137,62.60799412,149878.5071
3.521567955,47.39827049,-196887.796
3.418993543,47.39827049,-186915.2631
3.038002874,39.05745431,-283918.9542
2.627705229,12.07246077,291586.7853
2.305328508,106.27462,-106432.4397
2.261368046,95.48062262,86719.9844
2.173447123,106.7652563,86930.42534
2.173447123,95.97125886,-82543.30522
2.173447123,94.98998637,163112.6911
2.173447123,35.62300058,117639.896
2.158793635,106.27462,103759.4295
1.982951788,32.67918311,-164311.618
1.938991326,1.278463352,294473.967
1.880377376,34.15109185,176739.741
1.792456453,32.67918311,-92545.70016
1.763149478,23.35709443,-166215.8996
1.748495991,41.01999929,-158904.6831
1.558000656,25.31963941,148226.5471
1.543347168,41.01999929,-138288.2891
1.382158808,15.01627824,332157.3738
1.147703011,25.31963941,-87627.85574
1.074435575,16.48818698,274909.017
1.030475113,20.9039132,293953.6758
0.971861164,18.94136821,329143.2244
0.898593727,10.60055203,185677.8483
0.810672803,22.37582194,387484.9452
0.766712341,22.37582194,398111.1259
